timestamp,exg_1,exg_2,exg_3,exg_4,exg_5,exg_6,exg_7,exg_8
776286452,-9588.8759765625,8298.8447265625,3513.26953125,-4073.29248046875,11158.5498046875,-3336.221435546875,-13708.705078125,2665.17724609375
776286456,-9600.87890625,8308.232421875,3485.240478515625,-4065.2236328125,11138.90234375,-3337.607177734375,-13684.900390625,2668.708984375
776286460,-9559.103515625,8313.798828125,3443.531982421875,-4028.72314453125,11114.13671875,-3330.67822265625,-13639.6826171875,2693.228759765625
776286464,-9560.35546875,8348.734375,3429.539794921875,-4037.775634765625,11144.4677734375,-3333.24853515625,-13676.607421875,2681.918701171875
776286468,-9609.0146484375,8319.8779296875,3520.332763671875,-4071.325439453125,11163.35546875,-3339.23876953125,-13710.6943359375,2652.57080078125
776286472,-9715.3642578125,8244.1279296875,3574.580322265625,-4055.2099609375,11132.1298828125,-3328.018310546875,-13694.265625,2660.036376953125
776286476,-9593.5029296875,8261.673828125,3457.099609375,-4032.634765625,11122.853515625,-3311.902587890625,-13649.6962890625,2684.064453125
776286480,-9566.703125,8305.751953125,3531.597900390625,-4021.682373046875,11126.072265625,-3311.545166015625,-13657.6083984375,2673.559326171875
776286484,-9609.0595703125,8338.072265625,3555.8271484375,-4050.203125,11150.1005859375,-3330.87939453125,-13690.3759765625,2694.122802734375
776286488,-9651.505859375,8258.9921875,3507.16748046875,-4079.48388671875,11156.560546875,-3344.759765625,-13699.3623046875,2686.433837890625
776286492,-9615.072265625,8246.1171875,3489.420166015625,-4052.3935546875,11126.876953125,-3315.635498046875,-13642.5888671875,2701.007080078125
776286496,-9612.2783203125,8288.4736328125,3544.0703125,-4011.2216796875,11109.107421875,-3304.5712890625,-13647.21484375,2741.642578125
776286500,-9672.13671875,8293.01171875,3584.392822265625,-4047.051513671875,11141.5849609375,-3322.9443359375,-13707.9453125,2715.602783203125
776286504,-9623.677734375,8375.8466796875,3564.92431640625,-4051.656005859375,11138.4111328125,-3317.624755859375,-13693.05859375,2698.302490234375
776286508,-9542.2060546875,8350.8349609375,3491.36474609375,-4008.94189453125,11091.5166015625,-3297.306884765625,-13613.93359375,2799.10888671875
776286512,-9545.3798828125,8333.53515625,3515.504638671875,-3997.6318359375,11087.2255859375,-3301.1962890625,-13609.5078125,2845.555908203125
776286516,-9595.134765625,8362.435546875,3618.881591796875,-4084.759033203125,11154.7275390625,-3326.47607421875,-13701.3291015625,2719.894287109375
776286521,-9629.2880859375,8309.3505859375,3665.328369140625,-4105.45654296875,11156.873046875,-3339.596435546875,-13708.90625,2694.18994140625
776286524,-9650.34375,8343.7724609375,3571.518310546875,-4061.043701171875,11112.37109375,-3323.838623046875,-13645.5390625,2714.37353515625
776286528,-9500.8544921875,8386.6201171875,3555.13427734375,-4013.970947265625,11073.2998046875,-3314.406005859375,-13601.193359375,2727.225830078125
776286532,-9583.8466796875,8331.568359375,3791.973388671875,-4057.2216796875,11093.4169921875,-3350.1689453125,-13667.734375,2717.100341796875
776286536,-9702.7353515625,8276.9853515625,3710.30029296875,-4119.87353515625,11155.3759765625,-3372.1630859375,-13718.583984375,2765.4248046875
776286540,-9620.771484375,8324.7060546875,3634.483154296875,-4120.29833984375,11137.896484375,-3374.576904296875,-13688.119140625,2778.634765625
776286544,-9603.9853515625,8281.6123046875,3664.814453125,-4078.142822265625,11096.322265625,-3369.9501953125,-13647.3935546875,2814.889404296875
776286548,-9639.7265625,8291.46875,3717.832763671875,-4094.727783203125,11114.94140625,-3375.5380859375,-13686.3974609375,2794.638671875
776286552,-9651.1923828125,8322.9853515625,3731.35546875,-4159.5703125,11139.4169921875,-3380.45556640625,-13698.400390625,2703.17529296875
776286556,-9640.7763671875,8273.341796875,3707.39453125,-4159.5927734375,11108.4814453125,-3379.02490234375,-13686.017578125,2749.4658203125
776286560,-9606.9140625,8257.8740234375,3702.320556640625,-4130.82568359375,11087.3818359375,-3373.369873046875,-13665.2978515625,2871.841552734375
