timestamp,exg_1,exg_2,exg_3,exg_4,exg_5,exg_6,exg_7,exg_8
774368435,-8135.07373046875,7558.77880859375,3186.6435546875,-3440.82763671875,-1257.08447265625,-1790.12890625,-17070.630859375,6749.57861328125
774368440,-8080.4462890625,7657.97607421875,3106.75830078125,-3331.929931640625,-1269.3779296875,-1753.0025634765625,-17073.916015625,6921.150390625
774368444,-8151.10009765625,7630.97509765625,3166.638671875,-3304.86181640625,-1295.5965576171875,-1758.2999267578125,-17062.361328125,6883.53271484375
774368448,-8351.103515625,7511.5048828125,3252.134033203125,-3370.687744140625,-1324.1619873046875,-1795.359130859375,-17044.322265625,6692.134765625
774368452,-8338.8095703125,7535.0859375,3242.343994140625,-3455.17724609375,-1296.512939453125,-1802.4447021484375,-17051.921875,6710.59716796875
774368456,-8263.08203125,7632.2490234375,3181.54736328125,-3297.843505859375,-1326.2183837890625,-1761.8985595703125,-17068.865234375,6902.173828125
774368460,-8196.02734375,7640.228515625,3167.2646484375,-3305.1748046875,-1297.47412109375,-1762.9044189453125,-17086.701171875,6898.12841796875
774368464,-8301.5498046875,7549.36865234375,3182.0166015625,-3438.21240234375,-1229.70361328125,-1792.43115234375,-17107.376953125,6771.4609375
774368467,-8248.7998046875,7523.5302734375,3154.814697265625,-3497.131591796875,-1224.2274169921875,-1815.5875244140625,-17113.45703125,6677.24853515625
774368472,-8094.8408203125,7621.296875,3142.185791015625,-3323.27978515625,-1309.499267578125,-1775.734375,-17095.10546875,6899.3798828125
774368476,-8140.7509765625,7630.79638671875,3176.808837890625,-3307.924072265625,-1304.9842529296875,-1765.8101806640625,-17098.1015625,6915.54052734375
774368480,-8158.38671875,7618.72607421875,3168.114013671875,-3389.64208984375,-1276.530517578125,-1785.0550537109375,-17098.32421875,6792.4267578125
774368484,-8016.74365234375,7650.845703125,3067.39697265625,-3510.8779296875,-1245.2603759765625,-1817.0850830078125,-17104.248046875,6641.75390625
774368488,-7936.5234375,7711.30712890625,3042.81005859375,-3323.302001953125,-1345.5079345703125,-1788.81005859375,-17091.955078125,6869.8310546875
774368492,-8176.5361328125,7635.98193359375,3140.8447265625,-3314.517822265625,-1306.9288330078125,-1769.4088134765625,-17103.48828125,6926.85009765625
774368496,-8138.6279296875,7641.10009765625,3019.989013671875,-3374.979248046875,-1276.2398681640625,-1781.7022705078125,-17116.318359375,6839.92431640625
774368500,-7899.083984375,7722.1923828125,2917.327392578125,-3462.486328125,-1334.8238525390625,-1821.153076171875,-17106.662109375,6644.83837890625
774368504,-7911.109375,7759.966796875,3086.6865234375,-3339.775390625,-1433.59619140625,-1792.02880859375,-17088.9375,6824.32275390625
774368508,-8058.6083984375,7776.26123046875,3166.03515625,-3236.152587890625,-1452.2152099609375,-1760.333984375,-17087.55078125,6920.7705078125
774368512,-8268.7822265625,7561.4609375,3460.429931640625,-3293.86474609375,-1461.938232421875,-1774.81787109375,-17093.51953125,6843.0537109375
774368516,-8278.3935546875,7540.83056640625,3073.834228515625,-3482.558349609375,-1301.922119140625,-1822.4718017578125,-17124.56640625,6672.7109375
774368520,-8264.7138671875,7622.14599609375,3140.621337890625,-3429.20458984375,-1288.0416259765625,-1796.00732421875,-17125.66015625,6818.01953125
774368524,-8125.55224609375,7685.2451171875,3375.76171875,-3297.821044921875,-1378.1414794921875,-1765.02783203125,-17110.037109375,6949.06787109375
774368528,-8148.1943359375,7697.96337890625,3161.94482421875,-3330.45458984375,-1332.5216064453125,-1762.14453125,-17112.78515625,6908.09716796875
774368532,-8243.7705078125,7650.197265625,3091.425048828125,-3499.746826171875,-1232.5645751953125,-1806.4456787109375,-17143.787109375,6704.8974609375
774368536,-8176.1787109375,7539.4892578125,3044.039306640625,-3469.61669921875,-1289.3603515625,-1812.01123046875,-17141.1953125,6758.0498046875
774368540,-7961.2666015625,7724.830078125,2934.1806640625,-3358.3720703125,-1376.3533935546875,-1755.9306640625,-17118.77734375,6956.71240234375
774368544,-7998.21435546875,7737.70458984375,3219.2099609375,-3372.297119140625,-1325.994873046875,-1760.24462890625,-17119.291015625,6933.08642578125
774368548,-8386.888671875,7562.57861328125,3288.031005859375,-3460.00537109375,-1364.81982421875,-1792.60986328125,-17111.9140625,6713.078125
774368552,-8524.8662109375,7467.740234375,3561.236328125,-3526.36767578125,-1313.7684326171875,-1814.3358154296875,-17121.7265625,6734.42431640625
774368556,-8289.994140625,7575.16259765625,3252.871826171875,-3441.475830078125,-1243.9193115234375,-1779.668212890625,-17133.037109375,6985.76953125
774368560,-8180.04541015625,7634.484375,3120.817626953125,-3403.656494140625,-1272.0377197265625,-1769.0511474609375,-17126.890625,6969.22900390625
774368564,-8035.83203125,7670.470703125,3065.78759765625,-3513.8955078125,-1236.8560791015625,-1796.476806640625,-17122.12890625,6806.30712890625
774368568,-7983.14892578125,7693.26904296875,2999.22412109375,-3574.312255859375,-1263.432373046875,-1811.720703125,-17095.91015625,6577.62646484375
774368572,-8170.0322265625,7646.017578125,3191.73974609375,-3380.34375,-1383.8858642578125,-1758.43408203125,-17029.19140625,6911.11474609375
774368576,-8224.5478515625,7597.6484375,3343.105712890625,-3369.123046875,-1401.566162109375,-1766.1007080078125,-17106.83984375,7066.951171875
774368580,-8312.8369140625,7584.55029296875,3405.064697265625,-3505.938232421875,-1264.639404296875,-1794.912109375,-17134.9140625,6885.4326171875
774368584,-8348.4208984375,7529.498046875,3159.32958984375,-3613.74072265625,-1249.2613525390625,-1834.3853759765625,-17140.501953125,6709.23388671875
774368588,-8234.4716796875,7613.65234375,3139.4365234375,-3456.18310546875,-1329.1688232421875,-1783.378662109375,-17102.302734375,6920.0107421875
774368592,-8108.47509765625,7670.96240234375,3150.098388671875,-3414.318359375,-1326.5537109375,-1767.2630615234375,-17097.900390625,7019.07373046875
774368596,-8173.83154296875,7642.91064453125,3119.498779296875,-3444.60498046875,-1314.05908203125,-1785.278564453125,-17096.87109375,6929.6220703125
774368600,-8176.91650390625,7620.15673828125,3015.786865234375,-3626.212890625,-1256.3021240234375,-1828.79736328125,-17126.0625,6712.7431640625
774368604,-7803.82080078125,7771.791015625,3071.218994140625,-3512.39794921875,-1304.8277587890625,-1787.513671875,-17090.14453125,6837.53271484375
774368608,-8202.6875,7633.09814453125,3282.822998046875,-3394.067626953125,-1342.736328125,-1744.8665771484375,-17041.4609375,6807.0224609375
774368612,-8290.1279296875,7564.21044921875,3308.907470703125,-3472.052978515625,-1323.55859375,-1764.22314453125,-17101.029296875,7007.80810546875
774368616,-8259.5732421875,7526.94970703125,3250.52490234375,-3615.752197265625,-1260.3031005859375,-1836.8663330078125,-17150.091796875,6818.6005859375
774368620,-8145.6240234375,7609.31591796875,3173.634765625,-3541.700927734375,-1282.2525634765625,-1812.8382568359375,-17112.294921875,6880.73876953125
774368624,-8032.90380859375,7738.419921875,3184.989501953125,-3376.700439453125,-1362.1376953125,-1764.7149658203125,-17058.158203125,6998.755859375
774368628,-7969.0673828125,7667.85546875,3173.791259765625,-3418.274658203125,-1325.2125244140625,-1768.5147705078125,-17060.013671875,6996.63232421875
774368632,-8254.2529296875,7538.14794921875,3238.343017578125,-3577.75439453125,-1271.7918701171875,-1817.263916015625,-17130.958984375,6847.0771484375
774368636,-8203.984375,7560.298828125,3249.89892578125,-3560.6328125,-1310.5274658203125,-1811.2288818359375,-17119.625,6825.50732421875
774368640,-8058.16162109375,7683.255859375,3176.182861328125,-3420.643798828125,-1352.0570068359375,-1765.385498046875,-17082.701171875,7038.40771484375
774368644,-8049.3994140625,7692.666015625,3166.370361328125,-3401.667236328125,-1325.0338134765625,-1734.785888671875,-17050.111328125,6930.76171875
774368648,-8202.5986328125,7587.7021484375,3238.49951171875,-3493.108154296875,-1293.361328125,-1748.64404296875,-17029.34765625,6697.20849609375
774368652,-8147.70263671875,7574.291015625,3232.240966796875,-3586.248046875,-1249.5072021484375,-1831.9713134765625,-17150.13671875,6918.1552734375
774368656,-8053.4228515625,7660.2333984375,3199.6298828125,-3456.98779296875,-1321.4798583984375,-1776.0472412109375,-17098.861328125,7063.3525390625
774368660,-8053.8701171875,7680.52880859375,3179.870849609375,-3416.79931640625,-1320.5858154296875,-1758.2105712890625,-17093.02734375,7029.82470703125
774368664,-7958.20458984375,7705.5625,3121.331787109375,-3452.20458984375,-1299.75390625,-1780.115234375,-17087.484375,6864.73486328125
774368668,-7999.93505859375,7648.11865234375,3163.017822265625,-3629.09619140625,-1245.841552734375,-1821.3095703125,-17119.693359375,6798.52880859375
774368672,-8165.4052734375,7629.94677734375,3260.851318359375,-3483.20654296875,-1295.7752685546875,-1784.4962158203125,-17100.4921875,7031.81396484375
774368676,-8107.96142578125,7628.8515625,3250.189453125,-3417.20166015625,-1321.4351806640625,-1765.02783203125,-17096.58203125,7082.61962890625
774368680,-8091.3759765625,7628.71728515625,3161.274169921875,-3458.261962890625,-1296.5352783203125,-1772.068603515625,-17096.783203125,6982.595703125
774368684,-8123.29443359375,7591.904296875,3253.3857421875,-3544.33837890625,-1286.1417236328125,-1817.7332763671875,-17114.373046875,6833.666015625
774368688,-8035.2060546875,7634.10400390625,3302.783203125,-3488.123779296875,-1308.113525390625,-1785.7926025390625,-17097.744140625,6905.70556640625
774368692,-8143.947265625,7622.6376953125,3215.32080078125,-3449.052978515625,-1326.3525390625,-1772.985107421875,-17121.81640625,6995.82763671875
774368696,-8133.06201171875,7627.48828125,3213.2421875,-3449.99169921875,-1333.1474609375,-1779.6905517578125,-17105.1875,6993.3466796875
774368700,-8014.79931640625,7670.6494140625,3154.92626953125,-3396.21337890625,-1365.62451171875,-1769.6546630859375,-17056.1015625,7042.900390625
774368704,-7978.94677734375,7687.12255859375,3103.629150390625,-3430.970458984375,-1275.6588134765625,-1763.3514404296875,-17082.1640625,7024.21435546875
774368708,-8065.984375,7661.55224609375,3227.6142578125,-3493.19775390625,-1246.132080078125,-1773.2532958984375,-17136.1875,6972.7607421875
774368712,-8069.4267578125,7642.8662109375,3246.054443359375,-3474.355224609375,-1290.6343994140625,-1791.6488037109375,-17140.435546875,6992.720703125
