timestamp,exg_1,exg_2,exg_3,exg_4,exg_5,exg_6,exg_7,exg_8
775506708,-8530.9013671875,10063.828125,3453.746826171875,-5084.17236328125,11004.6357421875,-2826.758056640625,-12513.2216796875,4263.79638671875
775506712,-8457.6767578125,10162.6005859375,3393.330078125,-4935.9580078125,10935.8818359375,-2823.8076171875,-12428.8212890625,4435.435546875
775506716,-8450.3232421875,10197.6708984375,3375.470947265625,-4845.12060546875,10919.408203125,-2810.083740234375,-12421.78125,4501.66357421875
775506720,-8520.462890625,10153.4140625,3436.379638671875,-4824.4228515625,10940.0615234375,-2802.886474609375,-12451.486328125,4436.8212890625
775506724,-8601.2197265625,10057.189453125,3492.59423828125,-4915.68505859375,10970.9736328125,-2824.567626953125,-12504.236328125,4265.42822265625
775506728,-8480.7216796875,10132.11328125,3424.242431640625,-4807.56982421875,10946.1630859375,-2829.082763671875,-12439.55078125,4401.013671875
775506732,-8445.2265625,10195.435546875,3360.495361328125,-4683.15966796875,10957.853515625,-2821.50537109375,-12422.5859375,4509.5986328125
775506736,-8506.470703125,10167.25,3372.207763671875,-4635.84130859375,10975.623046875,-2819.940673828125,-12449.4072265625,4462.369140625
775506740,-8634.27734375,10050.9755859375,3486.536865234375,-4618.25048828125,10990.8447265625,-2814.665771484375,-12516.9326171875,4278.59326171875
775506744,-8598.58203125,10110.3642578125,3433.160888671875,-4490.13037109375,10977.03125,-2828.278076171875,-12478.7109375,4361.76416015625
775506748,-8603.8349609375,10181.5322265625,3384.724609375,-4400.29833984375,10986.1953125,-2815.8056640625,-12436.6669921875,4512.392578125
775506752,-8708.7763671875,10152.453125,3363.24462890625,-4392.810546875,11005.8203125,-2810.93310546875,-12453.85546875,4487.11279296875
775506756,-8758.375,10063.380859375,3414.296142578125,-4471.8017578125,11038.3642578125,-2815.358642578125,-12516.3291015625,4313.61865234375
775506760,-8682.423828125,10078.78125,3391.072509765625,-4456.625,11009.59765625,-2835.072998046875,-12477.8388671875,4320.72607421875
775506764,-8615.748046875,10174.447265625,3336.198974609375,-4312.12109375,10952.01953125,-2834.245849609375,-12396.7470703125,4491.158203125
775506768,-8644.1123046875,10151.1337890625,3365.770263671875,-4332.57275390625,10995.6279296875,-2830.043701171875,-12407.251953125,4480.69775390625
775506772,-8687.5419921875,10073.7080078125,3422.00732421875,-4407.29443359375,11081.078125,-2838.09033203125,-12468.3173828125,4327.61083984375
775506776,-8701.6015625,10048.517578125,3417.984130859375,-4365.0947265625,11095.361328125,-2861.939697265625,-12461.0078125,4272.98291015625
775506780,-8610.80859375,10170.4462890625,3382.288330078125,-4199.22216796875,11045.091796875,-2863.750244140625,-12388.5439453125,4472.09228515625
775506784,-8691.69921875,10132.671875,3419.23583984375,-4182.5703125,11034.5419921875,-2855.68115234375,-12404.2568359375,4488.185546875
775506788,-8764.029296875,10057.2119140625,3445.946044921875,-4277.05078125,11051.126953125,-2849.668701171875,-12456.58203125,4367.486328125
775506792,-8771.2939453125,10021.650390625,3460.51953125,-4381.0087890625,11062.794921875,-2868.622802734375,-12483.337890625,4255.302734375
775506796,-8677.3271484375,10129.9892578125,3388.390380859375,-4326.98486328125,11008.345703125,-2871.551025390625,-12410.4931640625,4455.10498046875
775506800,-8681.9541015625,10148.8544921875,3416.330078125,-4335.8583984375,11014.5146484375,-2862.6103515625,-12416.908203125,4497.86376953125
775506804,-8742.6611328125,10099.5458984375,3430.63525390625,-4434.96630859375,11036.419921875,-2861.47021484375,-12455.263671875,4410.06640625
775506808,-8802.67578125,10029.4736328125,3484.257080078125,-4561.47705078125,11058.8388671875,-2878.256591796875,-12497.5087890625,4252.330078125
