timestamp,exg_1,exg_2,exg_3,exg_4,exg_5,exg_6,exg_7,exg_8
775394147,-9465.5615234375,10105.8720703125,3678.918212890625,-5504.6533203125,11569.84375,-3501.624267578125,-13427.921875,2638.0869140625
775394151,-9459.1015625,10107.1240234375,3653.30322265625,-5481.1171875,11558.3330078125,-3434.166748046875,-13408.140625,2685.249267578125
775394155,-9473.630859375,10102.541015625,3665.775390625,-5492.29296875,11567.921875,-3503.99365234375,-13427.2294921875,2600.82666015625
775394160,-9473.65234375,10104.0615234375,3686.29443359375,-5501.23388671875,11561.2158203125,-3690.09423828125,-13404.318359375,2559.3642578125
775394164,-9463.2373046875,10106.85546875,3677.68896484375,-5478.63623046875,11539.5576171875,-3588.773681640625,-13368.33203125,2604.380615234375
775394168,-9457.537109375,10104.28515625,3621.385009765625,-5441.5546875,11522.9052734375,-3484.346435546875,-13338.314453125,2543.382568359375
775394173,-9474.390625,10095.2548828125,3682.06982421875,-5463.25830078125,11544.2958984375,-3578.6484375,-13411.248046875,2534.822021484375
775394176,-9486.416015625,10087.54296875,3696.509033203125,-5490.84033203125,11561.9541015625,-3556.006103515625,-13401.63671875,2592.377685546875
775394180,-9487.33203125,10081.53125,3676.48193359375,-5482.43603515625,11554.6220703125,-3456.58544921875,-13393.0986328125,2516.7841796875
775394184,-9466.6123046875,10091.208984375,3661.10400390625,-5484.78271484375,11561.9091796875,-3345.47509765625,-13423.83203125,2608.82861328125
775394188,-9472.3115234375,10091.2763671875,3687.50146484375,-5506.44189453125,11585.1103515625,-3367.200927734375,-13477.341796875,2690.010009765625
775394192,-9487.1982421875,10085.6435546875,3699.05712890625,-5524.0771484375,11591.1904296875,-3461.81591796875,-13484.2705078125,2623.535888671875
775394196,-9480.08984375,10092.5498046875,3683.9921875,-5498.73046875,11564.3232421875,-3615.796875,-13441.2216796875,2622.083251953125
775394200,-9460.912109375,10097.8701171875,3648.4306640625,-5437.53125,11512.7353515625,-4037.641357421875,-13322.8466796875,2627.335693359375
775394204,-9467.193359375,10094.0029296875,3665.552001953125,-5394.302734375,11490.1826171875,-3949.620361328125,-13215.625,2498.45556640625
775394208,-9495.2890625,10076.30078125,3650.777587890625,-5419.716796875,11506.87890625,-3506.0947265625,-13296.404296875,2388.90966796875
775394212,-9492.0263671875,10077.41796875,3679.857177734375,-5475.73046875,11542.4189453125,-3187.358642578125,-13428.7265625,2411.9990234375
775394216,-9472.177734375,10089.0634765625,3674.1796875,-5515.53857421875,11570.783203125,-3275.89404296875,-13473.9443359375,2594.7470703125
775394220,-9466.1875,10096.3720703125,3672.50341796875,-5518.22119140625,11569.5537109375,-3424.890869140625,-13476.4033203125,2704.58349609375
775394224,-9487.689453125,10090.76171875,3696.26318359375,-5523.36181640625,11573.4873046875,-3439.665283203125,-13477.4091796875,2628.855712890625
775394228,-9489.8134765625,10092.37109375,3672.369140625,-5520.74658203125,11567.8544921875,-3592.4169921875,-13470.14453125,2585.560302734375
775394232,-9472.9150390625,10097.5791015625,3652.878662109375,-5489.1416015625,11538.8642578125,-3716.64794921875,-13409.482421875,2642.37841796875
775394236,-9455.9052734375,10103.546875,3637.455810546875,-5459.23486328125,11520.7373046875,-3604.2412109375,-13327.0263671875,2591.5283203125
775394240,-9483.9345703125,10080.927734375,3649.950439453125,-5468.37646484375,11520.669921875,-3606.677490234375,-13381.921875,2513.095947265625
775394244,-9502.53125,10068.3212890625,3671.341064453125,-5481.16162109375,11523.44140625,-3668.770751953125,-13418.154296875,2541.415771484375
775394248,-9484.26953125,10078.669921875,3647.2236328125,-5476.6689453125,11523.3525390625,-3653.88427734375,-13352.4853515625,2485.536376953125
775394252,-9487.33203125,10061.97265625,3628.89501953125,-5459.927734375,11514.724609375,-3510.251953125,-13350.5185546875,2486.966796875
775394256,-9515.7412109375,10032.5361328125,3657.550048828125,-5503.35693359375,11547.6044921875,-3543.4443359375,-13491.6689453125,2540.83447265625
775394260,-9523.4296875,10021.1142578125,3670.469482421875,-5550.54150390625,11576.3935546875,-3572.36767578125,-13530.3154296875,2588.7119140625
775394264,-9506.1748046875,10041.38671875,3641.52392578125,-5523.76416015625,11549.8837890625,-3559.2470703125,-13457.1357421875,2618.529296875
775394268,-9480.3134765625,10073.484375,3600.2177734375,-5468.48828125,11506.9912109375,-3857.464111328125,-13347.0537109375,2570.294189453125
