timestamp,exg_1,exg_2,exg_3,exg_4,exg_5,exg_6,exg_7,exg_8
775106056,-10002.6962890625,8805.73828125,3531.2626953125,-4971.564453125,9825.24609375,-2682.812744140625,-13118.4404296875,9480.984375
775106061,-9984.2109375,8817.0478515625,3527.865234375,-4984.595703125,9822.2060546875,-2700.604736328125,-13120.697265625,9470.27734375
775106065,-9936.1552734375,8819.283203125,3499.143310546875,-4954.62158203125,9795.607421875,-2732.2548828125,-13057.978515625,9549.58203125
775106069,-9953.74609375,8841.7470703125,3496.907958984375,-4899.6142578125,9766.3935546875,-2688.35595703125,-13040.3876953125,9587.892578125
775106072,-10034.6142578125,8810.9677734375,3509.626220703125,-4896.9765625,9769.6796875,-2673.313232421875,-13086.857421875,9452.59765625
775106076,-10063.6044921875,8776.9267578125,3550.6416015625,-4996.59814453125,9837.2705078125,-2702.34814453125,-13131.962890625,9467.193359375
775106080,-9969.794921875,8812.33203125,3529.2509765625,-4989.46826171875,9825.7822265625,-2681.58349609375,-13097.384765625,9553.4931640625
775106084,-9966.2177734375,8829.453125,3496.86328125,-4930.0126953125,9797.7978515625,-2682.99169921875,-13051.294921875,9602.1533203125
775106088,-10021.337890625,8800.060546875,3530.614501953125,-4950.44189453125,9818.4287109375,-2683.6845703125,-13120.048828125,9529.017578125
775106092,-10007.6357421875,8790.2705078125,3547.15478515625,-4983.34375,9825.24609375,-2688.244384765625,-13145.2392578125,9473.3173828125
775106096,-9979.427734375,8804.93359375,3525.607666015625,-4967.47412109375,9805.46484375,-2691.530029296875,-13096.2001953125,9515.427734375
775106100,-9952.494140625,8836.6953125,3493.19775390625,-4919.5966796875,9786.7109375,-2687.19384765625,-13044.298828125,9597.8388671875
775106104,-9982.9375,8824.2451171875,3521.673828125,-4933.09716796875,9813.1083984375,-2685.4951171875,-13106.3251953125,9541.7587890625
775106108,-10005.6689453125,8808.509765625,3538.504638671875,-4973.08447265625,9827.458984375,-2686.97021484375,-13142.2001953125,9474.4130859375
775106112,-9981.998046875,8821.048828125,3526.97119140625,-4965.529296875,9812.1025390625,-2689.719482421875,-13104.828125,9501.9052734375
775106116,-9944.380859375,8850.59765625,3487.743896484375,-4914.27685546875,9792.7236328125,-2686.433837890625,-13032.564453125,9592.162109375
775106121,-9999.9697265625,8810.5439453125,3516.35400390625,-4915.08154296875,9798.6474609375,-2684.0869140625,-13083.1689453125,9559.416015625
775106125,-10018.1640625,8783.7666015625,3554.93310546875,-4968.9267578125,9822.83203125,-2686.478515625,-13139.1376953125,9484.9404296875
775106129,-10004.4619140625,8785.30859375,3540.493896484375,-4970.49169921875,9819.9931640625,-2688.847900390625,-13114.4169921875,9494.5966796875
775106133,-9978.01953125,8823.708984375,3499.4560546875,-4923.84326171875,9795.0712890625,-2683.818603515625,-13038.30859375,9584.1376953125
775106137,-9983.4736328125,8826.7705078125,3501.914794921875,-4912.734375,9810.7841796875,-2677.828369140625,-13068.55078125,9564.9599609375
775106141,-10008.708984375,8780.48046875,3538.795166015625,-4970.02197265625,9838.1875,-2693.742919921875,-13137.796875,9502.375
775106145,-10009.6474609375,8757.8828125,3537.096435546875,-4997.7607421875,9837.494140625,-2702.482421875,-13128.453125,9487.7119140625
775106149,-9967.3359375,8794.96484375,3500.618408203125,-4937.5224609375,9800.345703125,-2731.584228515625,-13033.7939453125,9580.5390625
775106153,-9947.21875,8836.7841796875,3495.90234375,-4877.240234375,9793.6630859375,-2694.18994140625,-13016.7392578125,9582.818359375
775106157,-9982.736328125,8800.1279296875,3541.54443359375,-4902.9443359375,9798.4462890625,-2666.294921875,-13081.7158203125,9459.236328125
775106161,-9959.4453125,8811.52734375,3550.865234375,-4914.74609375,9783.9619140625,-2680.309326171875,-13078.162109375,9460.0185546875
775106165,-9957.322265625,8810.72265625,3491.431884765625,-4879.85498046875,9716.4150390625,-2688.78076171875,-13003.57421875,9557.6728515625
775106169,-9980.970703125,8817.6962890625,3515.236572265625,-4876.05517578125,9705.9765625,-2689.943115234375,-12997.271484375,9590.41796875
775106173,-10008.26171875,8784.5263671875,3525.94287109375,-4941.09912109375,9856.158203125,-2688.75830078125,-13111.48828125,9488.896484375
775106177,-10005.4453125,8784.4814453125,3546.282958984375,-4959.3828125,9815.0751953125,-2681.6728515625,-13143.1611328125,9530.42578125
775106181,-10023.1923828125,8813.046875,3559.56005859375,-4960.05322265625,9804.0791015625,-2686.2548828125,-13083.9736328125,9576.3369140625
775106185,-9970.419921875,8833.3642578125,3528.692138671875,-4912.13134765625,9815.4111328125,-2690.18896484375,-13032.318359375,9621.8447265625
775106188,-9988.369140625,8798.7421875,3562.35400390625,-4914.50048828125,9813.1533203125,-2710.506591796875,-13081.8056640625,9528.8388671875
775106192,-9986.916015625,8783.296875,3562.197509765625,-4937.23193359375,9817.0869140625,-2724.94580078125,-13091.39453125,9458.498046875
775106196,-9962.7763671875,8801.513671875,3528.625244140625,-4914.05322265625,9790.689453125,-2701.744873046875,-13060.236328125,9537.802734375
775106200,-9974.5107421875,8822.6357421875,3517.918701171875,-4887.611328125,9718.8515625,-2659.61181640625,-13034.46484375,9640.2177734375
775106204,-10019.19140625,8807.8388671875,3551.424072265625,-4940.09326171875,9836.1533203125,-2655.677734375,-13115.5341796875,9580.896484375
775106208,-10027.5068359375,8783.810546875,3576.815673828125,-4971.564453125,9837.4501953125,-2664.77490234375,-13152.9736328125,9503.8056640625
775106212,-9997.3095703125,8788.28125,3553.905029296875,-4955.62744140625,9818.1826171875,-2678.7001953125,-13101.609375,9532.1025390625
775106216,-9936.2216796875,8824.8935546875,3491.409423828125,-4869.86376953125,9800.4130859375,-2685.450439453125,-12996.66796875,9599.8505859375
775106220,-9940.423828125,8834.0126953125,3504.55224609375,-4826.34521484375,9710.5361328125,-2678.7001953125,-13004.177734375,9542.0712890625
775106224,-10012.4189453125,8786.560546875,3578.871826171875,-4913.71826171875,9753.2734375,-2682.701171875,-13080.888671875,9445.466796875
775106228,-10009.982421875,8778.9609375,3573.55224609375,-4933.83447265625,9759.12890625,-2683.57275390625,-13134.1533203125,9508.1640625
775106232,-9966.9560546875,8849.1455078125,3524.624267578125,-4937.29931640625,9787.1357421875,-2653.30859375,-13088.2431640625,9692.2978515625
775106236,-10000.4609375,8838.6171875,3536.93994140625,-4933.56640625,9833.7392578125,-2649.79931640625,-13107.2421875,9636.5078125
775106240,-10001.5341796875,8795.1435546875,3581.464599609375,-4947.71533203125,9800.546875,-2664.350341796875,-13153.8232421875,9524.5029296875
775106244,-9984.546875,8784.3701171875,3567.316162109375,-4943.89306640625,9799.3173828125,-2738.222900390625,-13126.017578125,9526.8271484375
775106248,-9946.056640625,8809.2470703125,3500.126708984375,-4883.1630859375,9796.5009765625,-2798.12548828125,-12924.046875,9534.181640625
775106252,-9953.0078125,8816.6455078125,3487.229736328125,-4802.69677734375,9727.5458984375,-2723.4482421875,-12845.5478515625,9346.6953125
775106256,-10013.9619140625,8783.4755859375,3554.016845703125,-4892.05908203125,9751.373046875,-2604.291259765625,-13096.1328125,9429.7314453125
775106260,-10016.5322265625,8789.443359375,3577.8212890625,-4959.85205078125,9808.8623046875,-2600.24560546875,-13192.8486328125,9635.30078125
775106264,-9980.970703125,8814.5888671875,3537.208251953125,-4924.0224609375,9806.224609375,-2633.236572265625,-13134.5107421875,9668.6044921875
775106268,-9967.08984375,8838.6396484375,3531.642578125,-4893.19921875,9776.49609375,-2632.834228515625,-13085.60546875,9658.814453125
775106272,-9990.3134765625,8806.9892578125,3521.606689453125,-4925.36328125,9817.2880859375,-2680.4658203125,-13095.484375,9536.3271484375
775106276,-9971.5380859375,8822.9931640625,3540.33740234375,-4891.09814453125,9783.89453125,-2794.0126953125,-12977.1767578125,9413.83984375
775106280,-9953.8349609375,8824.55859375,3474.444580078125,-4788.57080078125,9651.3935546875,-2755.210205078125,-12969.1083984375,9341.7548828125
775106284,-9949.4765625,8849.123046875,3506.407470703125,-4802.56298828125,9599.1357421875,-2583.03466796875,-13077.1337890625,9624.884765625
775106288,-9998.5390625,8835.890625,3585.91259765625,-4992.1953125,9888.5009765625,-2575.748046875,-13231.0478515625,9682.2841796875
775106292,-10021.046875,8791.6337890625,3598.02734375,-4999.39208984375,9879.0458984375,-2622.4853515625,-13107.1748046875,9449.0439453125
775106296,-9950.4375,8807.458984375,3515.303466796875,-4830.591796875,9626.9189453125,-2671.9052734375,-12954.802734375,9386.4140625
775106300,-9865.478515625,8898.4755859375,3458.99951171875,-4678.82373046875,9468.8251953125,-2698.39208984375,-12902.208984375,9575.7109375
775106304,-9995.029296875,8855.314453125,3551.8486328125,-4863.3818359375,9744.533203125,-2641.842041015625,-13078.609375,9568.9833984375
775106308,-10048.8974609375,8776.6357421875,3558.73291015625,-5007.59521484375,9932.556640625,-2675.861328125,-13118.6416015625,9475.552734375
775106312,-10006.943359375,8793.154296875,3529.027587890625,-4927.3974609375,9801.6650390625,-2751.74560546875,-12849.7939453125,9333.9990234375
